Vorname_Nachname;Nachname;Vorname;Geschlecht;Fraktion
Bärbel Kofler;Kofler;Bärbel;f;SPD
Heinrich Leonhard Kolb;Kolb;Heinrich Leonhard;m;FDP
Daniela Kolbe;Kolbe;Daniela;f;SPD
Manfred Kolbe;Kolbe;Manfred;m;CDU/CSU
Hellmut Königshaus;Königshaus;Hellmut;m;FDP
Gudrun Kopp;Kopp;Gudrun;f;FDP
Jürgen Koppelin;Koppelin;Jürgen;m;FDP
Sebastian Körber;Körber;Sebastian;m;FDP
Fritz Rudolf Körper;Körper;Fritz Rudolf;m;SPD
Jan Korte;Korte;Jan;m;DIE LINKE
Rolf Koschorrek;Koschorrek;Rolf;m;CDU/CSU
Hartmut Koschyk;Koschyk;Hartmut;m;CDU/CSU
Thomas Kossendey;Kossendey;Thomas;m;CDU/CSU
Sylvia Kotting-Uhl;Kotting-Uhl;Sylvia;f;BÜNDNIS 90/DIE GRÜNEN
Anette Kramme;Kramme;Anette;f;SPD
Jutta Krellmann;Krellmann;Jutta;f;DIE LINKE
Nicolette Kressl;Kressl;Nicolette;f;SPD
Holger Krestel;Krestel;Holger;m;FDP
Michael Kretschmer;Kretschmer;Michael;m;CDU/CSU
Gunther Krichbaum;Krichbaum;Gunther;m;CDU/CSU
Günter Krings;Krings;Günter;m;CDU/CSU
Oliver Krischer;Krischer;Oliver;m;BÜNDNIS 90/DIE GRÜNEN
Martina Krogmann;Krogmann;Martina;f;CDU/CSU
Angelika Krüger-Leißner;Krüger-Leißner;Angelika;f;SPD
Agnes Krumwiede;Krumwiede;Agnes;f;BÜNDNIS 90/DIE GRÜNEN
Rüdiger Kruse;Kruse;Rüdiger;m;CDU/CSU
Bettina Kudla;Kudla;Bettina;f;CDU/CSU
Hermann Kues;Kues;Hermann;m;CDU/CSU
Fritz Kuhn;Kuhn;Fritz;m;BÜNDNIS 90/DIE GRÜNEN
Stephan Kühn;Kühn;Stephan;m;BÜNDNIS 90/DIE GRÜNEN
Ute Kumpf;Kumpf;Ute;f;SPD
Renate Künast;Künast;Renate;f;BÜNDNIS 90/DIE GRÜNEN
Katrin Kunert;Kunert;Katrin;f;DIE LINKE
Markus Kurth;Kurth;Markus;m;BÜNDNIS 90/DIE GRÜNEN
Patrick Kurth;Kurth;Patrick;m;FDP
Undine Kurth;Kurth;Undine;f;BÜNDNIS 90/DIE GRÜNEN
Günter Lach;Lach;Günter;m;CDU/CSU
Oskar Lafontaine;Lafontaine;Oskar;m;DIE LINKE
Christine Lambrecht;Lambrecht;Christine;f;SPD
Karl A. Lamers;Lamers;Karl A.;m;CDU/CSU
Andreas G. Lämmel;Lämmel;Andreas G.;m;CDU/CSU
Norbert Lammert;Lammert;Norbert;m;CDU/CSU
